Epoch,Base,BatchNorm,GreyWorld,GreyEdge,WhitePatch,FC4
1,4.631554604,4.669241905,4.635944366,4.647973061,4.64044714,4.629433632
2,4.574991703,4.520691395,4.594379902,4.629557133,4.628912926,4.530276775
3,4.40798378,4.268535614,4.417689323,4.525812626,4.627388954,4.356690407
4,4.310426235,4.110566616,4.318160057,4.495025635,4.623369217,4.287490845
5,4.280198097,3.990217447,4.25952673,4.410130024,4.609947205,4.232106686
6,4.229759693,3.876741648,4.208402157,4.404140949,4.473320007,4.185715675
7,4.18670845,3.828717947,4.190485954,4.287232399,4.388352871,4.145348549
8,4.156454086,3.659783602,4.134738922,4.301693916,4.295186996,4.109413624
9,4.101241112,3.568596363,4.063447475,4.238363266,4.250956535,4.056515217
10,4.066848278,3.467906237,3.983507633,4.204846859,4.214536667,3.993900061
11,3.98197937,3.39697957,3.927945614,4.184127808,4.173240185,3.924457073
12,3.928361416,3.332795143,3.813877821,4.168720245,4.119668484,3.898314238
13,3.825264692,3.28853035,3.783787489,4.104020596,4.061404228,3.818084002
14,3.756307364,3.172896624,3.715670586,4.096992016,4.021797657,3.806463718
15,3.671143293,3.091765881,3.671261787,4.050610542,3.988814592,3.73464632
16,3.609176397,3.084451199,3.606734037,3.993375778,3.919299603,3.700025797
17,3.586775541,3.001218796,3.563028336,3.94302249,3.888800621,3.652802944
18,3.517045498,2.930205345,3.466907501,3.918195724,3.819576263,3.58446312
19,3.432753086,2.878483295,3.424179792,3.899296761,3.792784691,3.527695179
20,3.41371727,2.800786257,3.390444756,3.767174482,3.709858179,3.476942539
21,3.390326738,2.731921911,3.348598003,3.69546175,3.621763706,3.403187037
22,3.287827253,2.708144665,3.28424263,3.690417051,3.55625391,3.299670696
23,3.26008749,2.620253325,3.249619007,3.618463516,3.533056259,3.297765493
24,3.178637743,2.60539031,3.194932461,3.573415041,3.449830294,3.262209892
25,3.16931057,2.518886805,3.121690989,3.572867155,3.430103302,3.20456624
26,3.104941368,2.464534521,3.097723007,3.477965117,3.356660843,3.137891531
27,3.051243067,2.417188883,3.109699488,3.416178465,3.323973894,3.100506306
28,3.029947281,2.288944244,3.011072636,3.403553009,3.281646252,3.025451899
29,2.935026646,2.270044327,2.994550467,3.355792046,3.220110893,3.021970987
30,2.943089485,2.247592211,2.914995909,3.28570962,3.165957451,2.925103903
31,2.90055871,2.208167553,2.893029928,3.292888641,3.066599607,2.933553696
32,2.80061698,2.145896912,2.861479521,3.247025967,3.012544155,2.890814543
33,2.757501364,2.201727152,2.815907717,3.197507381,2.978659868,2.833481789
