Epoch,Base,BatchNorm,GreyWorld,GreyEdge,WhitePatch,FC4
1,0.02254902,0.011764706,0.030392157,0.021568628,0.021568628,0.018627452
2,0.12843138,0.06666667,0.203921571,0.137254909,0.150000006,0.125490203
3,0.343137264,0.254901975,0.447058827,0.367647052,0.36470589,0.369607836
4,0.535294116,0.463725477,0.674509823,0.600000024,0.56078434,0.570588231
5,0.710784316,0.642156839,0.81764704,0.758823514,0.763725519,0.78039217
6,0.822549045,0.791176498,0.896078408,0.875490189,0.852941155,0.863725483
7,0.902941167,0.855882347,0.936274529,0.925490201,0.907843113,0.923529387
8,0.935294092,0.902941167,0.957843125,0.936274529,0.93921566,0.936274529
9,0.942156851,0.941176474,0.96960783,0.954901934,0.956862748,0.954901934
10,0.958823502,0.935294092,0.968627453,0.964705884,0.954901934,0.956862748
11,0.956862748,0.959803939,0.97647059,0.970588207,0.971568644,0.973529398
12,0.960784316,0.96274507,0.978431344,0.983333349,0.964705884,0.972549021
13,0.975490212,0.97647059,0.980392158,0.986274481,0.977450967,0.979411781
14,0.980392158,0.96960783,0.983333349,0.977450967,0.972549021,0.987254918
15,0.978431344,0.981372535,0.980392158,0.984313726,0.982352912,0.977450967
16,0.987254918,0.977450967,0.984313726,0.979411781,0.986274481,0.980392158
17,0.980392158,0.972549021,0.989215672,0.990196049,0.986274481,0.992156863
18,0.990196049,0.984313726,0.985294104,0.984313726,0.988235295,0.991176486
19,0.983333349,0.988235295,0.981372535,0.997058809,0.984313726,0.990196049
20,0.981372535,0.980392158,0.982352912,0.984313726,0.992156863,0.990196049
21,0.988235295,0.986274481,0.998039186,0.992156863,0.985294104,0.991176486
22,0.977450967,0.990196049,0.986274481,0.99313724,0.980392158,0.990196049
23,0.987254918,0.986274481,0.986274481,0.987254918,0.991176486,0.988235295
24,0.989215672,0.994117618,0.992156863,0.992156863,0.994117618,0.989215672
25,0.991176486,0.978431344,0.99313724,0.986274481,0.999019623,0.999019623
26,0.99313724,0.992156863,0.99313724,0.985294104,0.986274481,0.995098054
27,0.984313726,0.990196049,0.991176486,0.997058809,0.996078432,0.985294104
28,1,0.99313724,0.992156863,0.990196049,0.989215672,0.996078432
29,0.989215672,0.987254918,0.998039186,0.998039186,0.989215672,0.994117618
30,0.992156863,0.992156863,0.985294104,0.991176486,0.99313724,0.996078432
31,0.999019623,0.992156863,0.988235295,0.992156863,0.995098054,0.992156863
32,0.99313724,0.990196049,0.998039186,0.992156863,0.991176486,0.997058809
33,0.990196049,0.990196049,0.989215672,0.991176486,0.991176486,0.991176486
34,0.990196049,0.990196049,0.999019623,0.997058809,1,0.994117618
35,0.995098054,0.990196049,0.990196049,0.990196049,0.99313724,0.998039186
36,0.99313724,0.996078432,0.99313724,0.999019623,0.995098054,0.992156863
37,0.998039186,0.987254918,0.998039186,0.99313724,0.992156863,0.995098054
38,0.991176486,0.987254918,0.986274481,0.997058809,0.999019623,0.992156863
39,0.987254918,0.994117618,1,0.996078432,0.995098054,0.996078432
40,0.992156863,0.992156863,1,0.995098054,0.997058809,0.991176486
41,0.992156863,0.989215672,1,0.991176486,0.991176486,0.998039186
42,0.997058809,0.990196049,0.994117618,0.996078432,0.99313724,0.995098054
43,0.994117618,0.99313724,0.994117618,0.99313724,0.990196049,0.998039186
44,0.997058809,0.99313724,1,0.995098054,0.998039186,0.994117618
45,0.994117618,0.994117618,1,0.991176486,0.994117618,0.998039186
46,0.992156863,0.99313724,0.992156863,0.995098054,0.998039186,0.998039186
47,0.996078432,0.997058809,0.994117618,0.999019623,0.999019623,0.995098054
48,0.994117618,0.996078432,0.999019623,0.998039186,0.989215672,0.990196049
49,0.992156863,0.999019623,0.994117618,0.998039186,0.997058809,0.99313724
50,0.996078432,0.99313724,0.999019623,0.991176486,0.996078432,0.996078432
51,1,0.99313724,0.992156863,0.996078432,0.997058809,0.996078432
52,1,0.996078432,0.995098054,0.996078432,0.996078432,0.997058809
53,0.996078432,0.994117618,0.994117618,0.992156863,0.996078432,0.997058809
54,0.994117618,0.99313724,0.995098054,0.997058809,0.992156863,0.99313724
55,0.998039186,0.992156863,0.995098054,0.996078432,0.999019623,0.998039186
56,0.994117618,1,0.996078432,0.996078432,1,0.998039186
57,0.990196049,0.997058809,0.997058809,0.992156863,0.991176486,0.996078432
58,0.990196049,0.990196049,0.989215672,0.995098054,0.996078432,1
59,0.997058809,0.999019623,0.997058809,0.994117618,0.998039186,0.994117618
60,0.992156863,1,0.999019623,0.996078432,0.999019623,0.992156863
61,0.996078432,0.998039186,1,0.99313724,0.996078432,0.999019623
62,1,0.998039186,0.996078432,0.995098054,1,0.992156863
63,1,0.999019623,0.995098054,0.997058809,0.996078432,0.999019623
64,0.989215672,0.994117618,0.997058809,0.996078432,0.995098054,0.994117618
65,0.997058809,0.99313724,0.998039186,0.999019623,1,0.999019623
66,1,0.999019623,0.997058809,0.997058809,0.99313724,0.997058809
67,1,0.994117618,1,0.999019623,0.994117618,0.996078432
68,1,0.999019623,1,0.990196049,0.997058809,0.99313724
69,0.995098054,0.998039186,0.991176486,1,0.994117618,1
70,0.996078432,0.990196049,1,0.999019623,0.998039186,0.995098054
71,1,0.995098054,0.999019623,0.99313724,1,0.996078432
72,1,1,0.997058809,0.999019623,0.998039186,0.994117618
73,0.999019623,0.994117618,0.994117618,0.99313724,1,0.995098054
74,0.997058809,0.99313724,0.991176486,1,0.996078432,0.996078432
75,0.995098054,0.998039186,0.997058809,0.994117618,0.997058809,0.995098054
76,0.998039186,0.99313724,0.991176486,0.994117618,0.995098054,0.996078432
77,1,0.995098054,0.994117618,0.999019623,1,0.998039186
